"huid","Tabloid_dict","Non_tabliod_dict"
3583719838,0.00398,0.00797
2169581787,0.00444,0.00889
6049619390,0.01754,0
3243648973,0.00294,0.00294
2023164686,0,0
2520680821,0,0
3074135808,0,0
3788865094,0.00418,0.00837
4993646285,0,0
4885060008,0,0
5002359693,0,0
5291867619,0.00559,0
3955679974,0,0
3234565931,0.03226,0
6001168196,0.00472,0
5125722999,0.00441,0
4033981380,0,0
3698187164,0,0
5415724185,0,0
5960653196,0.00529,0
3358829999,0.01948,0.00649
3815931030,0.00271,0
5487349020,0,0.01036
4566699592,0.00905,0
2643618019,0,0
2330088164,0.00758,0.00758
2299748877,0,0
4874297684,0,0
2661530173,0,0
1950924017,0.00467,0
5300509110,0.00255,0.0051
2020781377,0,0.00227
4274213945,0.0084,0
2361088850,0,0
5855563079,0,0.00575
1937903769,0,0
3471964367,0.01553,0.00311
4438712748,0,0
6065192321,0.01163,0.01163
4982560172,0,0.01282
4293447503,0,0
6071054494,0.01078,0.0027
3111973199,0,0
4569523230,0,0
4204442896,0,0
2983306727,0.02365,0
2719150949,0,0
5933217572,0,0.0184
2185828390,0,0.0098
3257169189,0.00922,0.00461
2054691253,0,0
6026420543,0.01379,0
3782723183,0.00645,0.00323
3379782269,0.0137,0
5469214702,0.00901,0.00901
5096514164,0.00149,0
3760326720,0.00168,0.00672
5455302437,0.00735,0.00735
5259812217,0.00305,0
4770905306,0,0.00943
5904372687,0,0
2603007027,0,0
3802373190,0,0
1924502037,0.00709,0
5167650139,0,0
2307325408,0.0051,0
2866941027,0.00342,0.00342
3917642972,0.00741,0
5621017221,0,0
5311803445,0.00403,0
4335370563,0,0.00366
3914852697,0.0035,0
5547357838,0,0
5399604344,0.0038,0.0038
2477876406,0.01626,0
4381464616,0,0
2781837748,0,0
3716301033,0,0
5772219439,0.01974,0
5859112654,0.0034,0.0017
5553286019,0,0.00971
2805458930,0,0.01102
3956437387,0,0
2390828356,0.01136,0.00325
3951377633,0.00375,0
3846216823,0.00725,0
5417468242,0,0
3333928036,0.01282,0
4827178339,0.00328,0
2898045687,0,0
4066953385,0,0
2432961752,0.06562,0
6044823980,0,0
4734137314,0,0
5159054501,0,0
5775723591,0.00852,0.00852
5097312184,0.00627,0
3880731128,0,0.00862
4933204532,0.00685,0
4402426241,0,0
3048179028,0.00662,0
2525285921,0.01149,0
4982667703,0.00472,0
3350767819,0.01093,0
5572959341,0,0
4574931601,0,0
5591304423,0.00424,0
2019429373,0,0
5779433363,0.00455,0.00455
2117658218,0.00571,0
2756119277,0.04225,0
5573500709,0,0
5918074906,0,0
2933957479,0.00556,0.00926
4934663582,0,0
2197213490,0,0
5550537913,0.00575,0
2560912951,0,0
5211306466,0,0
3984111969,0.0274,0
4884221524,0,0
2606003607,0.00248,0.0087
4226237003,0,0
5595702778,0,0
2101929293,0,0
4925204520,0,0
4670535370,0.00483,0.00242
5862571678,0,0
2710326901,0.01887,0
4079016277,0.00391,0
6040076002,0.00601,0.002
4112460536,0.00249,0.00249
2796353472,0,0
5549153916,0.01149,0.01149
3179466471,0.00559,0
3184566048,0.00463,0
3178916312,0.00559,0
3716172763,0.06383,0
4993986101,0.00278,0
4438984960,0,0
2480269461,0,0.00503
5533811379,0,0
3539415944,0.01136,0.00947
5968303353,0,0
5540498316,0.00968,0
3985526204,0.00889,0
2802771683,0,0
3380053424,0,0
5400317822,0,0
2031708240,0,0
3659274223,0.00219,0.00219
5625070836,0,0
5630088268,0.01205,0
1866335032,0,0
4541186890,0.00391,0
2315121931,0,0.00493
4229562707,0,0
4217698729,0,0
2460979463,0,0
2974897201,0.00654,0
3147777653,0,0
3355493051,0,0.00358
6059425520,0.01356,0
3171580911,0.00296,0.01479
6001388942,0.00578,0
1947300937,0.00526,0
2605543524,0.00312,0.00208
5502673926,0,0
5492020786,0,0
3550496360,0.0051,0.0102
4193235975,0.0069,0.0023
3498181751,0.00568,0
4690116086,0,0.00957
4806955859,0.01327,0.00442
5377956419,0,0
3343099712,0.01099,0
4847420478,0.00345,0.00345
2210508825,0.00835,0
4352931764,0,0
3187137675,0.00445,0.00148
5896010932,0.00769,0
2737773967,0.00635,0.00635
5007760457,0.00426,0
5813147600,0.0019,0
2172687137,0.01238,0
2068544679,0,0
4975813531,0.00386,0
4523623346,0.00707,0
5184806822,0.01948,0
5916311317,0,0
2504297162,0,0
3112650685,0,0.00312
5489731456,0.008,0
5684794121,0,0
3550258558,0,0
5560229953,0.00711,0.00237
5329945330,0.00619,0
3016131733,0.00651,0.01302
3596484623,0,0
5021012356,0.00828,0.01035
5847188276,0.01767,0
3892096555,0,0
3305660929,0.00559,0
4456700693,0,0
2106409686,0.00763,0
4711554889,0.025,0
4322232839,0,0.0042
2384180468,0.00498,0.00498
3346880603,0,0
5035079766,0,0
2813876792,0,0
3560693399,0.00208,0
5880444996,0,0
4281448260,0.00518,0.01554
5580414366,0.01205,0.00602
6094094957,0,0
3809095062,0.01639,0
2350323068,0,0
2119480538,0.00321,0.00641
